id;price;name
Д1232;25;Батарея GP  6F22
В9443;492;Комплект кабелей к DKVM-CU3     2 in 1 USB KVM Cable in 3m (6ft)
Д0254;293;Вентилятор - USB CBR UF-109
Б6517;583;Комплект кабелей к DLK-DKVM-CB3 / Cable Kit for DKVM Product  3м
92651;729;Комплект кабелей к DLK-DKVM-CB5 / Cable Kit for DKVM Product  5м
Г9791;33;Разветвитель для для блока питания, 5 1/4 + 3 1/2 коннектора [CC-PSU-2]
12717;17;Десятипальцевый метод печати на компьютере (В. Андрианов)
Г6358;10490;Системный блок Acer Aspire X3400 PT.SE2E1.052 Athlon II X3 445/3.1 ГГц/3ГБ/500ГБ/GT420/DVDRW/DL/W7HB
Б3285;83;Самоучитель Левина. Windows XP и Vista (Левин) с.624
В1998;33;Серия ... - это очень просто  Интернет - это очень просто! 2-е изд.(А. Левин)
Д2186;5890;Радиостанция Аргут a44 16-20км
Б3242;250;Инструмент GEMBIRD TK-HOBBY  (31 пр. ) набор
98012;33;Создание DVD-меню
A2669;33;Фотография. Легкий старт (А. Маляревский)
А4417;33;Цифровая фотография (Т. Данилова)
Г4302;15;Клемма WAGO 222-413 соединительная 3-проводная с нажимным рычагом
Д6527;4290;Процессор Intel (Socket1150) Core i3-4130 (3.4GHz, 3MB) tray
Д6159;1390;Процессор AMD (SocketFM2) A4 4000 <ad4000o>(3000MHz up to 3200MHz/1Mb, 2 cores, 32nm, 65W, Radeon 74</ad4000o>
Г5259;890;Процессор AMD (SocketFM1) A4-3300 X2  (2.5/1Mb/Radeon HD 6410) OEM
Д5257;3490;Процессор AMD (SocketAM3+) X6 FX-6100 (3.3/2000/14Mb) OEM
В6921;2650;(Socket 775) ASrock G41M-VS3 G41+ICH7 1333Mhz,2DDR3,VGA+PCX16+PCI,LPT,6Audio,1xATA+4SATAII,mATX
Д5979;30;Многопарные соединители СМЖ-10, 0,28 на жилу 0,4 мм
Г9043;1690;Набор инструментов Gembird TK-ELEC (63 предмета)
Д6472;4690;Процессор Intel (Socket1150) Core i3-4330 (3.5GHz, 4MB) tray
Д6155;5410;Процессор Intel (Socket1150) Core i3-4340 (3.6GHz, 4MB) tray
Д4956;6450;Процессор Intel (Socket1150) Core i5-4430 (3.0/6Mb) (SR14G) OEM
Д1063;1590;Процессор AMD (SocketFM2) A4 5300  (OEM)
Д3262;2150;Процессор AMD (SocketFM2) A6 5400K (3.60GHz,1MB,65W) Box
Д6160;2400;Процессор AMD (SocketFM2) A6 6400K <ad640ko> (3900MHz up to 4100MHz/1Mb, 2 cores, 32nm, 65W, Radeon</ad640ko>
Г8713;1890;Процессор AMD (SocketFM1) A6 3670K (2.7GHz,4MB,100W) tray
Г4924;1870;Процессор AMD (SocketFM1) A6-3500 (2.10ГГц, 3x1024КБ, GPU) OEM
Г7896;2590;Процессор AMD (SocketFM1) A8-3870 X4 (3GHz/4Mb) OEM
Г4811;800;Вентилятор для видеокарты Thermaltake VGA Cooler Fanless 330( 4xCuprum+All Heat pipes, STMT-CL-G0115
Б1717;80;Система охлаждения HDD Gembird (HD-A1) с салазками 2 вент.
В6181;1422;Контроллер вентиляторов Aerocool Touch 2000, 2x 5.25
Б6071;1390;Набор инструментов GEMBIRD TK-SOLDER (28 пр.)
Г0789;1660;Пульс-пара коммутаторная	ППК-Д28
Г0776;3.3;Резистор МЛТ -2,0  -10 Ом
Д6154;6690;Процессор Intel (Socket1150) Core i5-4440 (3.1GHz, 6MB) tray
Д6495;12790;Процессор Intel (Socket1150) Core i7-4770K (3.5/5000/8Mb/Intel HDG4000) Box
Д5252;12590;Процессор Intel (Socket1150) Core i7-4770K 3.5GHz (TB up to 3.9GHz)  8Mb 2DDR3-1600 HDGraphics4600 T
Г7267;1380;Вентилятор для видеокарты ZALMAN VF3000A 92мм*2, для AMD HD5870/HD5850/HD5830, AlCu
Г7268;2150;Вентилятор для видеокарты ZALMAN VF3000F (GTX 580/570) 1400-3000 об/мин,Уровень шума 18 - 33 дБ ,Цве
Г7269;1240;Вентилятор для видеокарты ZALMAN VF3000N 1300-2500 об/мин, в комплекте радиаторы для чипсетов, Цвет
Б4113;314;Система охлаждения HDD Gembird (HD-A5) в 5.25 с 2мя вент,радиатор,амортизатор
Б1720;96;Система охлаждения HDD Gembird (HD-A7) с салазками 3 вент.
Г3521;66;Термопаста  АлСил 3 (3грамм) шприц
В9914;111;Термопаста Titan TTC-G30015 шприц 1.5 г
Г9312;210;Термопаста Zalman ZM-STG2 шприц 3,5г
Б6431;540;Память DDR3 1024Mb 1333MHz Kingston (KVR1333D3N9/1G)
A0722;680;Память DDR2 1024 MB PC6400 800MHz
15771;810;Память DDR 1024 MB PC3200 (400MHz)
Д3276;1120;Память SO-DIMM DDR2 2048M PC6400
Д6631;830;Вентилятор S_1150/1155/1156/AM3+/FM1/FM2 Deepcool GAMMAXX 300  4pin 18-21dB Al+Cu 130W 473g клипсы
Д6163;2290;Процессор Intel (Socket1150) Pentium G3220 TRAY (3000MHz/3Mb, Dual-Core, Ivy Bridge, 22nm, 54W, GPU
Д6162;2780;Процессор Intel (Socket1150) Pentium G3420 TRAY (3200MHz/3Mb, Dual-Core, Ivy Bridge, 22nm, 54W, GPU
Д6161;3130;Процессор Intel (Socket1150) Pentium G3430 TRAY (3300MHz/3Mb, Dual-Core, Ivy Bridge, 22nm, 54W, GPU
Г4754;608;Вентилятор для видеокарты ZALMAN VF700-CU-LED Совместимость NVIDIA Geforce FX / Geforce 4 / ATI Rade
Г7270;736;Вентилятор для видеокарты ZALMAN VF770 80мм, AL радиатор, поддержка HD5670, GT240
Г7264;512;Вентилятор для видеокарты ZALMAN ZM-SC100 системное охлаждение в PCI слот (92 мм, 1400-2300 об/мин),
Г3707;66;Термопаста КПТ-8 10 гр
Б4114;260;Термопаста КПТ-8 125 гр
Д1071;6550;Память DDR3 16384Mb 1600MHz Corsair (CMZ16GX3M2A1600C10) RTL Unbuffered, 10-10-10-27, with Vengeance
В1497;790;Память DDR3 2048Mb 1333MHz
В6797;880;Память DDR3 2048Mb 1600MHz
Б1077;990;Память DDR2 2048 MB PC6400 800MHz
Д3289;1150;Память DDR2 2048 MB PC6400 800MHz Crucial
90846;930;Память DDR 1024 MB PC3200 (400MHz) Samsung
Г6709;420;Память SO-DIMM DDR3 1024Mb 1333MHz
В6399;450;Память SO-DIMM DDR3 1024Mb 1333MHz Patriot RTL
В7881;490;Память SO-DIMM DDR3 1024Mb 1333MHz Samsung
Д4305;264;Вентилятор S_775/1155/1156 Cooler Master A116 DP6-9GDSC-0L-GP (TDP 95-105W, Al, 2200 об/мин, 92x92x2
Д1371;730;Вентилятор S_775/1155/1156 Cooler Master Vortex 211P RR-V211-22FK-R1
Д4754;284;Вентилятор S_775/939/754/AM2/AM3/1155 Floston FCU-1PS
